Year,global,africa,asia_pacific,europe_central_asia,latin_america_caribbean,north_america
1970,1,1,1,1,1,1
1971,0.98944457,0.958698761,1.063453512,0.997486616,1.006943028,0.966324102
1972,0.977427827,0.964254805,1.048495461,1.01192744,1.023271879,1.00074528
1973,0.959018968,0.99264313,1.033948242,1.033593332,0.955478379,0.940590487
1974,0.939175659,0.963226937,1.041746598,1.052216185,0.8776166,0.8977932
1975,0.936385847,0.946154241,1.072557806,1.064158251,0.853595461,0.8796133
1976,0.915234653,0.93402785,1.063148691,1.071422441,0.770722786,0.862857948
1977,0.893562469,0.908598398,1.043026199,1.079318758,0.717865966,0.856364465
1978,0.866088588,0.876679795,1.017915145,1.113177077,0.702724778,0.877559885
1979,0.847706052,0.847087532,1.015971275,1.132077234,0.666189656,0.875023029
1980,0.825282996,0.831180966,1.010277345,1.114801897,0.655045673,0.845808388
1981,0.806654462,0.820530615,0.995542165,1.082924693,0.630261185,0.8543585
1982,0.782869375,0.79096343,0.984938418,1.05267218,0.590107351,0.840539601
1983,0.754044065,0.745668797,0.954894038,1.053306736,0.528402732,0.829806782
1984,0.720518594,0.708517577,0.91785716,0.993747814,0.482687003,0.844932487
1985,0.700362481,0.659233443,0.930860349,1.031060653,0.479843028,0.815008321
1986,0.682967799,0.617437965,0.882199051,1.037658395,0.445724961,0.81573142
1987,0.657545831,0.605015708,0.852583673,1.03955134,0.403936836,0.820988537
1988,0.631676672,0.580083655,0.831839405,1.087754239,0.367367168,0.790216062
1989,0.6252562,0.566012388,0.849074441,1.151159735,0.355708542,0.79101915
1990,0.631593952,0.560511546,0.843823186,1.189700781,0.34612072,0.787449694
1991,0.61233987,0.532291193,0.781940723,1.193476527,0.333903152,0.790227783
1992,0.598163045,0.538671009,0.762021423,1.154208051,0.313823279,0.764403804
1993,0.590143263,0.577187099,0.741090839,1.12540589,0.303481842,0.783124956
1994,0.557552727,0.565167755,0.668835225,1.096256744,0.282345371,0.777871799
1995,0.546854231,0.576289138,0.688288641,1.08553023,0.260136889,0.768508476
1996,0.530715996,0.556567417,0.677916491,1.061806378,0.245082364,0.717451466
1997,0.518675772,0.556039613,0.653546293,1.010461555,0.233291706,0.703280118
1998,0.498958789,0.546202576,0.643116426,0.994378692,0.215992577,0.695400662
1999,0.484006036,0.529135337,0.613899145,0.967670889,0.198245923,0.663276727
2000,0.468265854,0.542841769,0.590461188,0.949907109,0.187787316,0.656796696
2001,0.456288749,0.52048167,0.563367309,0.960713976,0.183908732,0.651494462
2002,0.435968936,0.466266216,0.56323805,0.909974287,0.162716629,0.633308619
2003,0.431905409,0.455198225,0.568709333,0.930908989,0.158244405,0.671285421
2004,0.426922596,0.450537723,0.567281675,0.949613022,0.152415866,0.675674152
2005,0.409256982,0.445354244,0.551066182,0.962425469,0.132426547,0.684613031
2006,0.393031073,0.42365697,0.5325023,0.96756804,0.126916375,0.674097892
2007,0.382043249,0.4267682,0.523391912,0.972939863,0.116543049,0.683002145
2008,0.371025995,0.445336661,0.503085563,0.958964817,0.105642681,0.69528134
2009,0.359342482,0.441587996,0.479243755,0.933311549,0.100934035,0.680726772
2010,0.353288791,0.466973192,0.463348663,0.899347657,0.09334209,0.679526553
2011,0.334124687,0.446630301,0.458939869,0.864450249,0.077071711,0.674184869
2012,0.32163715,0.414486232,0.479994571,0.829309058,0.070828663,0.652591611
2013,0.318036708,0.388415042,0.487517008,0.815283356,0.065063711,0.631352393
2014,0.316681872,0.356855191,0.525624257,0.781957133,0.06246798,0.658816514
2015,0.322558989,0.353893108,0.524613442,0.792109488,0.067240504,0.68292616
2016,0.318589459,0.354662678,0.547602427,0.761268799,0.063339295,0.667051981
